English Question,Tamil Question,Tamil Answer
Opposite,abc,எதிர்ச்சொல்:எதிர்ச்சொல்
Opposite,,எதிர்ச்சொல்:வெஃகல் x விரும்புதல்
Opposite,,எதிர்ச்சொல்:நல்வினை x தீவிணை
Opposite,,எதிர்ச்சொல்:வைதல் x புகழ்தல்
Opposite,,எதிர்ச்சொல்:வழுத்தல் x இகழ்தல்
Opposite,,எதிர்ச்சொல்:கீழ்த்திசை x மேற்றிசை
Opposite,,எதிர்ச்சொல்:நகை x அழுகை
Opposite,,எதிர்ச்சொல்:வலம்புரி x இடம்புரி
Opposite,,எதிர்ச்சொல்:மலர்தல் x கூம்பல்
Opposite,,எதிர்ச்சொல்:வெம்மை x தண்மை
Opposite,,எதிர்ச்சொல்:வல்லினம் x மெல்லினம்
Opposite,,எதிர்ச்சொல்:ஒற்றுமை x வேற்றுமை
Opposite,,எதிர்ச்சொல்:கனவு x நனவு
Opposite,,எதிர்ச்சொல்:சிற்றிலக்கியம் x பேரிலக்கியம்
Opposite,,எதிர்ச்சொல்:பழமை x புதுமை
Opposite,,எதிர்ச்சொல்:நல்லார் x அல்லார்
Opposite,,எதிர்ச்சொல்:ஓடுமீன் x உறுமீன்
Opposite,,எதிர்ச்சொல்:தெருள் x மருள்
Opposite,,எதிர்ச்சொல்:பகட்டு x எளிமை
Opposite,,எதிர்ச்சொல்:தூங்குக x தூங்கற்க
Opposite,,எதிர்ச்சொல்:தூங்கி x தூங்காது
Opposite,,எதிர்ச்சொல்:மருவுக x ஒருவுக
Opposite,,எதிர்ச்சொல்:சிற்றூர் x பேரூர்
Opposite,,எதிர்ச்சொல்:நீதி x அநீதி
Opposite,,எதிர்ச்சொல்:நிறை x குறை
Opposite,,எதிர்ச்சொல்:இயற்கை x செயற்கை
Opposite,,எதிர்ச்சொல்:ஆக்கம் x அழிவு
Opposite,,எதிர்ச்சொல்:அகம் x புறம்
Opposite,,எதிர்ச்சொல்:பகை x நட்பு
Opposite,,எதிர்ச்சொல்:இரத்தல் x ஈதல்
Opposite,,எதிர்ச்சொல்:ஆடூஉ x மகடூஉ
Opposite,,எதிர்ச்சொல்:முற்பகல் x பிற்பகல்
Opposite,,எதிர்ச்சொல்:புகழ்ச்சி x இகழ்ச்சி
Opposite,,எதிர்ச்சொல்:இனிய x இன்னாத
Opposite,,எதிர்ச்சொல்:வறுமை x வளமை
Opposite,,எதிர்ச்சொல்:வெறுப்பது x நேசிப்பது
Opposite,,எதிர்ச்சொல்:ஓடா x ஓடும்
Opposite,,எதிர்ச்சொல்:அண்மை x சேய்மை
Opposite,,எதிர்ச்சொல்:பெரிய x சிறிய
Opposite,,எதிர்ச்சொல்:வெம்மை x தண்மை
Opposite,,எதிர்ச்சொல்:மலர்தல் x கூம்பல்
Opposite,,எதிர்ச்சொல்:ஆடவர் x பெண்டிர்
Opposite,,எதிர்ச்சொல்:வல்லினம் x மெல்லினம்
Opposite,,எதிர்ச்சொல்:ஒற்றுமை x வேற்றுமை
Opposite,,எதிர்ச்சொல்:தொடக்கம் x முடிவு
Opposite,,எதிர்ச்சொல்:கனவு x நனவு
Opposite,,எதிர்ச்சொல்:நல்லவர் x கெட்டவர்
Opposite,,எதிர்ச்சொல்:சிற்றிலக்கியம் x பேரிலக்கியம்
Opposite,,எதிர்ச்சொல்:இரவு x பகல்
Opposite,,எதிர்ச்சொல்:பழமை x புதுமை
Opposite,,எதிர்ச்சொல்:பழைய x புதிய
Opposite,,எதிர்ச்சொல்:நண்பன் x பகைவன்
