English Question,Tamil Question,Tamil Answer
"What are some examples of ""பிரித்தெழுதுக""?","""பிரித்தெழுதுக"" க்கு சில எடுத்துக்காட்டுகள் என்னென்ன? ","தாமுள = தாம் + உள - ""தாமுள"" can be broken down as ""தாம்"" (they) and ""உள"" (are)."
"What are some examples of ""பிரித்தெழுதுக""?","""பிரித்தெழுதுக"" க்கு சில எடுத்துக்காட்டுகள் என்னென்ன? ","* சரணாங்களே = சரண் + நாங்களே - ""சரணாங்களே"" can be separated into ""சரண்"" (refuge) and ""நாங்களே"" (we)."
"What are some examples of ""பிரித்தெழுதுக""?","""பிரித்தெழுதுக"" க்கு சில எடுத்துக்காட்டுகள் என்னென்ன? ","* யாரவர் = யார் + அவர் - ""யாரவர்"" can be divided into ""யார்"" (who) and ""அவர்"" (he/she/they)."
"What are some examples of ""பிரித்தெழுதுக""?","""பிரித்தெழுதுக"" க்கு சில எடுத்துக்காட்டுகள் என்னென்ன? ","* ""அலகிலா"" can be decomposed into ""அலகு"" (measure) and ""இலா"" (without)."
"What are some examples of ""பிரித்தெழுதுக""?","""பிரித்தெழுதுக"" க்கு சில எடுத்துக்காட்டுகள் என்னென்ன? ","* விருந்தொரால் = விருந்து + ஒரால் - ""விருந்தொரால்"" can be broken down as ""விருந்து"" (feast) and ""ஒரால்"" (by)."
,பிரித்தெழுதுக: தாமுள,தாம் + உள
,பிரித்தெழுதுக: சரணாங்களே,சரண் + நாங்களே
,பிரித்தெழுதுக: யாரவர்,யார் + அவர்
,பிரித்தெழுதுக: அலகிலா,அலகு + இலா
,பிரித்தெழுதுக: விருந்தொரால்,விருந்து + ஒரால்
,பிரித்தெழுதுக: நிறையுடைமை,நிறை + உடைமை
,பிரித்தெழுதுக: தற்பிறர்,தன் + பிறர்
,பிரித்தெழுதுக: அறனல்ல,அறன் + அல்ல
,பிரித்தெழுதுக: மொழியியல்,மொழி + இயல்
,பிரித்தெழுதுக: முந்நூறு,மூன்று + நூறு
,பிரித்தெழுதுக: பேராசிரியர்,பெருமை + ஆசிரியர்
,பிரித்தெழுதுக: வரலாற்றறிஞர்கள்,வரலாறு + அறிஞர்கள்
,பிரித்தெழுதுக: மூவகை,மூன்று + வகை
,பிரித்தெழுதுக: சீரிளமை,சீர் + இளமை
,பிரித்தெழுதுக: மூலமொழி,மூலம் + மொழி
,பிரித்தெழுதுக: தரவியலாத,தர + இயலாத
,பிரித்தெழுதுக: ஒலியாக்கி,ஒலி + ஆக்கி
,பிரித்தெழுதுக: சொற்றொடர்,சொல் + தொடர்
,பிரித்தெழுதுக: நீரமுது,நீர் + அமுது
,பிரித்தெழுதுக: நன்செய்,நன்மை + செய்
,பிரித்தெழுதுக: புன்செய்,புன்மை + செய்
,பிரித்தெழுதுக: நறுநெய்,நறுமை + நெய்
,பிரித்தெழுதுக: பேரறம்,பெருமை + அறம்
,பிரித்தெழுதுக: பெருந்தொழில்,பெருமை + தொழில்
,பிரித்தெழுதுக: மெய்ஞ்ஞானம்,மெய்மை + ஞானம்
,பிரித்தெழுதுக: தொல்லுலகு,தொன்மை + உலகு
,பிரித்தெழுதுக: எம்பி,எம் + தம்பி
,பிரித்தெழுதுக: நுந்தை,நும் + தந்தை
,பிரித்தெழுதுக: இனிதேகி,இனிது + ஏகி
,பிரித்தெழுதுக: நீரமுதம்,நீர் + அமுதம்
,பிரித்தெழுதுக: நன்றென்றல்,நன்று + என்றல்
,பிரித்தெழுதுக: தன்னாடு,தன் + நாடு
,பிரித்தெழுதுக: என்றுரைத்தல்,என்று + உரைத்தல்
,பிரித்தெழுதுக: இத்துணை,இ + துணை
,பிரித்தெழுதுக: நூற்றாண்டு,நூறு + ஆண்டு
,பிரித்தெழுதுக: செந்தமிழ்,செம்மை + தமிழ்
,பிரித்தெழுதுக: தமிழெழுத்து,தமிழ் + எழுத்து
,பிரித்தெழுதுக: தண்டமிழ்,தண்மை + தமிழ்
,பிரித்தெழுதுக: பன்னாடு,பல + நாடு
,பிரித்தெழுதுக: முந்நீர்;,மூன்று + நீர்
,பிரித்தெழுதுக: தொல்காப்பியம்,தொன்மை + காப்பியம்
,பிரித்தெழுதுக: பழந்தமிழர்,பழமை + தமிழர்
,பிரித்தெழுதுக: வெண்துகில்,வெண்மை + துகில்
,பிரித்தெழுதுக: பல்லாயிரம்,பல + ஆயிரம்
,பிரித்தெழுதுக: புறநானூறு,புறம் + நான்கு + நூறு
,பிரித்தெழுதுக: எத்திசை,எ + திசை
,பிரித்தெழுதுக: பல்கலை,பல + கலை
,பிரித்தெழுதுக: செவிச்செல்வம்,செவி + செல்வம்
,பிரித்தெழுதுக: அச்செல்வம்,அ + செல்வம்
,பிரித்தெழுதுக: செவியுணவின்,செவி + உணர்வின்
,பிரித்தெழுதுக: அவியுணவு,அவி + உணவு
,பிரித்தெழுதுக: அஃதொருவன்,அஃது + ஒருவன்
,பிரித்தெழுதுக: பிழைத்துணர்ந்து,பிழைத்து + உணர்ந்து
,பிரித்தெழுதுக: சுவையுணர,சுவை + உணர
,பிரித்தெழுதுக: செவிக்குணவு,செவிக்கு + உணவு
,பிரித்தெழுதுக: செவிச்செல்வம்,செவி + செல்வம்
,பிரித்தெழுதுக: ஊற்றுக்கோல்,ஊன்று + கோல்
,பிரித்தெழுதுக: இழைத்துணர்ந்து,இழைத்து + உணர்ந்து
,பிரித்தெழுதுக: வாயுணர்வின்,வாய் + உணர்வின்
,பிரித்தெழுதுக: கேள்வியரல்லர்,கேள்வி + அல்லார்
,பிரித்தெழுதுக: ஏடாயிரம்,ஏடு + ஆயிரம்
,பிரித்தெழுதுக: ஏதிரிலா,எதிர் + இலா
,பிரித்தெழுதுக: விடுக்குமோலை,விடுக்கும் + ஓலை
,பிரித்தெழுதுக: சிரமசைத்திடும்,சிரம் + அசைத்திடும்
,பிரித்தெழுதுக: தென்பாலை,தெற்கு + பாலை
,பிரித்தெழுதுக: படையிற்றொடாத,படையில் + தொடாத
,பிரித்தெழுதுக: நாட்குறிப்பு,நாள் + குறிப்பு
,பிரித்தெழுதுக: பேரிடர்,பெருமை + இடர்
,பிரித்தெழுதுக: பன்மொழி,பல + மொழி
,பிரித்தெழுதுக: பதிவேடு,பதிவு + ஏடு
,பிரித்தெழுதுக: பெரும்பகுதி,பெருமை + பகுதி
,பிரித்தெழுதுக: கடுந்தண்டனை,கடுமை + தண்டனை
,பிரித்தெழுதுக: சொற்றொடர்,சொல் + தொடர்
,பிரித்தெழுதுக: உறுப்புரிமை,உறுப்பு + உரிமை
,பிரித்தெழுதுக: அந்நாடு,அ + நாடு
,பிரித்தெழுதுக: உடலுழைப்பு,உடல் + உழைப்பு
,பிரித்தெழுதுக: பல்கலை,பல + கலை
,பிரித்தெழுதுக: பேராசிரியர்,பெருமை + ஆசிரியர்
,பிரித்தெழுதுக: அரும்பணி,அருமை + பணி
,பிரித்தெழுதுக: பேருதவி,பெருமை + உதவி
,பிரித்தெழுதுக: தமிழியல்,தமிழ் + இயல்
,பிரித்தெழுதுக: காலூன்றி,கால் + ஊன்றி
,பிரித்தெழுதுக: அறிவாற்றல்,அறிவு + ஆற்றல்
,பிரித்தெழுதுக: நாத்தொலைவில்லா,நா + தொலைவு + இல்லா
,பிரித்தெழுதுக: இயல்பீராறு,இயல்பு + ஈராறு
,பிரித்தெழுதுக: மாசில்,மாசு + இல்
,பிரித்தெழுதுக: காண்டகு,காண் + தகு
,பிரித்தெழுதுக: கடுஞ்சொல்,கடுமை + சொல்
,பிரித்தெழுதுக: பிறவறம்,பிற + அறம்
,பிரித்தெழுதுக: பதப்படுத்தி,பதம் + படுத்தி
,பிரித்தெழுதுக: நாமறிந்தது,நாம் + அறிந்தது
,பிரித்தெழுதுக: புறநானூறு,புறம் + நான்கு + நூறு
,பிரித்தெழுதுக: இப்பிணி,இ + பிணி
,பிரித்தெழுதுக: புறச்சூழல்,புறம் + சூழல்
,பிரித்தெழுதுக: மருந்துண்ணும்,மருந்து + உண்ணும்
,பிரித்தெழுதுக: எண்ணெய்,எள் + நெய்
,பிரித்தெழுதுக: வலிவூட்ட,வலிவு + ஊட்ட
,பிரித்தெழுதுக: பழமொழி,பழமை + மொழி
,பிரித்தெழுதுக: நல்லுடல்,நன்மை + உடல்
,பிரித்தெழுதுக: என்னலம்,என் + நலம்
,பிரித்தெழுதுக: ஈடில்லை,ஈடு + இல்லை
,பிரித்தெழுதுக: சீரில்,சீர் + இல்
,பிரித்தெழுதுக: பயனில்,பயன் + இல்
,பிரித்தெழுதுக: உலகாளும்,உலகு + ஆளும்
,பிரித்தெழுதுக: கடனறிந்து,கடன் + அறிந்து
,பிரித்தெழுதுக: யாதெனின்,யாது + எனின்
,பிரித்தெழுதுக: எந்நலம்,எ + நலம்
,பிரித்தெழுதுக: துலையல்லார்,துலை + அல்லார்
,பிரித்தெழுதுக: சால்பென்னும்,சால்பு + என்னும்
,பிரித்தெழுதுக: இளிவன்று,இளிவு + அன்று
,பிரித்தெழுதுக: ஒருவற்கு,ஒருவன் + கு
,பிரித்தெழுதுக: பெருங்குணம்,பெருமை + குணம்
,பிரித்தெழுதுக: பழந்தமிழ்,பழமை + தமிழ்
,பிரித்தெழுதுக: சிற்றினம்,சிறுமை + இனம்
,பிரித்தெழுதுக: வேரூன்றியது,வேர் + ஊன்றியது
,பிரித்தெழுதுக: சிற்றூர்,சிறுமை + ஊர்
,பிரித்தெழுதுக: நூற்றெண்பது,நூறு + எண்பது
,பிரித்தெழுதுக: அத்திட்டம்,அ + திட்டம்
,பிரித்தெழுதுக: பெருந்தலைவர்,பெருமை + தலைவர்
,பிரித்தெழுதுக: அந்நாளில்,அ + நாளில்
,பிரித்தெழுதுக: தென்னாப்பிரிக்கா,தெற்கு + ஆப்பிரிக்கா
,பிரித்தெழுதுக: திருமணப்பதிவு,திருமணம் + பதிவு
,பிரித்தெழுதுக: வாழ்வுரிமை,வாழ்வு + உரிமை
,பிரித்தெழுதுக: அறப்போர்,அறம் + போர்
,பிரித்தெழுதுக: கடுங்காவல்,கடுமை + காவல்
,பிரித்தெழுதுக: தளர்ந்திருந்த,தளர்ந்து + இருந்த
,பிரித்தெழுதுக: இன்னுயிர்,இனிமை + உயிர்
,பிரித்தெழுதுக: நாளன்று,நாள் + அன்று
,பிரித்தெழுதுக: பேரிடி,பெருமை + இடி
,பிரித்தெழுதுக: நல்லொழுக்கம்,நன்மை + ஒழுக்கம்
,பிரித்தெழுதுக: கருத்துணர்ந்து,கருத்து + உணர்ந்து
,பிரித்தெழுதுக: சொன்னலம்,சொல் + நலம்
,பிரித்தெழுதுக: பங்கயத்தடம்,பங்கயம் + தடம்
,பிரித்தெழுதுக: நீர்;ச்சடை,நீர் + சடை
,பிரித்தெழுதுக: கண்ணானாலும்,கண் + ஆனாலும்
,பிரித்தெழுதுக: அல்குற்ற,அல் + கு + உற்ற
,பிரித்தெழுதுக: உய்யவோர்,உய்ய + ஓர்
,பிரித்தெழுதுக: உரைத்தெனக்கருள்,உரைத்து + எனக்கு +அருள்
,பிரித்தெழுதுக: என்றிரந்து,என்று + இரந்து
,பிரித்தெழுதுக: பொற்கிழி,பொன் + கிழி
,பிரித்தெழுதுக: வெருவிலான்,வெருவு + இலான்
,பிரித்தெழுதுக: நாண்மதி,நாள் + மதி
,பிரித்தெழுதுக: கீரனில்லென,கீரன் + நில் + என
,பிரித்தெழுதுக: உளப்பையுள்,உளம் + பையுள்
,பிரித்தெழுதுக: பொருட்குற்றம்,பொருள் + குற்றம்
,பிரித்தெழுதுக: பொற்குற்ற,பொன் + கு + உற்ற
