English Question,Tamil Question,Tamil Answer
abc,அனைத்து தமிழ் உயிரெழுத்துக்களையும் அதன் வரிசையில் சொல்லுங்கள்?,"
தமிழில் 12 உயிரெழுத்துக்கள் உள்ளன, அவை அ, ஆ, இ, ஈ, உ, ஊ, எ, ஏ, ஐ, ஒ, ஓ, ஔ. தமிழ் உயிரெழுத்துக்கள் குறுகிய மற்றும் நீண்ட (ஒவ்வொரு வகையிலும் ஐந்து) மற்றும் இரண்டு இருமெழுத்துக்களாக பிரிக்கப்பட்டுள்ளன."
,அனைத்து குறுகிய தமிழ் உயிரெழுத்துகளையும் பட்டியலிட முடியுமா?,"  
ஆம், 5 குறுகிய உயிரெழுத்துக்கள் உள்ளன, அவை அ, இ, உ, உ, எ."
,தமிழில் மெய் எழுத்துக்களின் அர்த்தம் என்றால் என்ன? தமிழில் எத்தனை மெய் எழுத்துக்கள் உள்ளன?  அவை அனைத்தையும் பட்டியலிட முடியுமா?,"  
தமிழில் 12 தூய உயிர் எழுத்துக்கள் மற்றும் 18 தூய மெய் எழுத்துக்கள் உள்ளன. மெய் எழுத்து பெரும்பாலும் இறுதி ஒலியை உருவாக்க உயிர் எழுத்துடன் இணைக்கப்படுகிறது. எனவே மெய் மற்றும் உயிர் எழுத்துக்களை இணைத்து 216 எழுத்துக்கள் கூடுதலாக உள்ளன. அவை க், ங், ச், ஞ், ட், ண், த், ந், ப், ம், ய், ர், ல், வ், ழ், ள், ற், ன்."
,கடந்த காலங்களில் உள்ள சொற்களை நீங்கள் எவ்வாறு கண்டுபிடிப்பது?,"  
'நேற்று', 'கடைசி ஆண்டு', மற்றும் 'சில தருணங்களுக்கு முன்பு' போன்ற சொற்களை நீங்கள் கண்டுபிடிக்க வேண்டும்."
,ஒரு வார்த்தையில் பெண் பாலினத்தை எவ்வாறு அடையாளம் காண்பது?,"  
'நேற்று', 'கடைசி ஆண்டு', மற்றும் 'சில தருணங்களுக்கு முன்பு' போன்ற சொற்களை நீங்கள் கண்டுபிடிக்க வேண்டும்."
,ஒரு வார்த்தையில் ஆண் பாலினத்தை எவ்வாறு அடையாளம் காண்பது?,"   சொல் ஒரு பெயர்ச்சொல் என்றால், பாலினம் பெயர் வகையைப் பொறுத்தது. அது ஒரு வினைச்சொல் என்றால், வாக்கியத்தின் முடிவில் 'ன்' உள்ளது, அது ஒரு ஆண்."
,ஒரு வார்த்தையில் ஒற்றை பெயர்ச்சொல்லை எவ்வாறு அடையாளம் காண்பது?,"  ஒன்றன்பால் து, று, டு என்பன ஒன்றன்பாலை உணர்த்தும்."
,பாலினத்தை எவ்வாறு அடையாளம் காண்பது?," ஒரு பெயர் வழங்கப்பட்டால், அது ஒரு பையன் அல்லது பெண் பெயர் என்பதை சரிபார்க்கவும். இது ஒரு வினைச்சொல்லாக இருந்தால், வினைச்சொல் என்ன முடிவடைகிறது என்பதைக் கண்டறியவும். அது ஒரு ஆண் பாலினமாக இருந்தால், வினைச்சொல் ஒரு 'ன்' இல் முடிவடையும். இது ஒரு பெண் பாலினமாக இருந்தால், வினைச்சொல் ஒரு 'ள்' இல் முடிவடையும்."
,தமிழ் மொழிக்கான செயலில் மற்றும் செயலற்ற வாக்கியங்களை விளக்க முடியுமா?,"  செயலில் வாக்கியம் பெயர்ச்சொல்லுக்கு முக்கியத்துவம் கொடுக்கும், ஆனால் செயலற்ற வாக்கியம் வினைச்சொல்லுக்கு முக்கியத்துவம் கொடுக்கும்."
,"  கீழேயுள்ள பட்டியலில் தமிழ் உயிரெழுத்துடன் தொடங்கும் சொற்களைக் கண்டறியவும்: 1. அம்மா 2. அப்பா, 3. ஆடு 4. நடு  கீழே உள்ள சொற்கள் தமிழ் உயிரெழுத்துக்களுடன் தொடங்குகின்றன. 1. அம்மா 2. அப்பா, 3. ஆடு?",
,சில தமிழ் பெயர்ச்சொற்களை என்னிடம் சொல்ல முடியுமா?," சில தமிழ் பெயர்ச்சொற்கள்: உணவு, கணினி, புத்தகம், வீடு, தொலைபேசி, காகிதம், நாய், மனிதன், படகு, நாற்காலி."
,சில பொதுவான தமிழ் விழாக்களை என்னிடம் சொல்ல முடியுமா?," பொதுவான தமிழ் திருவிழாக்களின் சில எடுத்துக்காட்டுகள்: பொங்கல், தீபாவளி, தமிழ் புத்தாண்டு, தைபுசம், அவானி அவதம், சித்ரா பவுர்னாமி, கார்த்திகை தீபம், ஆடிப்பெருக்கு, கோலு."
,பொதுவான தமிழ் வினையுரிச்சொற்களின் சில எடுத்துக்காட்டுகளை என்னிடம் சொல்ல முடியுமா?," பொதுவான தமிழ் வினையுரிச்சொற்களின் சில எடுத்துக்காட்டுகள்: விரைவாக, மெதுவாக, மகிழ்ச்சியுடன், சோகமாக, அமைதியாக, சத்தமாக, கோபமாக, நன்றாக, மென்மையாக, மெதுவாக."
,தமிழில் பொதுவான பெயரடைகளின் சில எடுத்துக்காட்டுகளை என்னிடம் சொல்ல முடியுமா?," பொதுவான தமிழ் பெயரடைகளின் சில எடுத்துக்காட்டுகள்: கோபம், சோகம், கடினமான, மென்மையான, சிவப்பு, பச்சை, பெரிய, சிறிய, அழகான, வேடிக்கையான."
,பொதுவான தமிழ் பிரதிபெயர்களின் சில எடுத்துக்காட்டுகளை என்னிடம் சொல்ல முடியுமா?," பொதுவான தமிழ் பிரதிபெயர்களின் சில எடுத்துக்காட்டுகள்: நான், நீ, அவன், அவள், அவள், என், என்னுடைய, உன்னுடைய, அவன், அவள், அவள், நான், அவள், அவன், நாங்கள், நீங்கள், அவர்கள், உங்களுடைய, நம்முடைய, அவர்களுடைய, நாங்கள், அவர்கள், என், அவருடைய, அவள், எங்கள், அவர்களுடைய, உங்கள், யாருடைய, யாருடைய, எல்லாம், எல்லோரும், நீங்களே, நானே."
,," வினைச்சொற்களின் பத்து எடுத்துக்காட்டுகளை எனக்குக் கொடுங்கள்.நிச்சயம்! பத்து வார்த்தைகள்: 'சாப்பிடுவது', 'நடனம்', 'பார்ப்பது', 'எழுதுதல்', 'படித்தல்', 'சொல்வது', 'நடைபயிற்சி', 'சம்பாதித்தல்', 'டைவிங்', மற்றும் 'எடுத்துக்கொள்வது'."
,," பெயர்ச்சொற்களின் 10 எடுத்துக்காட்டுகளை எனக்குக் கொடுங்கள்.நிச்சயமாக! இங்கே சில எடுத்துக்காட்டுகள்: 'நாய்', 'பூனை', 'பள்ளி', 'வீடு', 'ஆசிரியர்', 'பிளானட்', 'வலிமை', 'டிரக்', 'உணவு' மற்றும் 'புத்தகங்கள்'."
,பலர்பால் என்றால் என்ன என்று சொல்ல முடியுமா?," ஆம்! ஒரு பெயர்ச்சொல் பன்மையாக இருந்தால், அது தமிழில் பல்லர்பால் என்று அழைக்கப்படுகிறது. உதாரணமாக, அவை, அவை, அவை, அது, நம்முடைய, யானைகள், தாவரங்கள், புத்தகங்கள், பறவைகள் ஆகியவை பலர்பால்."
,இந்த வார்த்தை ஒரு பெயர்ச்சொல்: 'ஓடுகிறது'?,ஓடுவது' ஒரு பெயர்ச்சொல் அல்ல. இது ஒரு வினை சொல்.
,பலவின்பால் என்றால் என்ன?,"  தமிழ் இலக்கணம் பெயர்ச்சொற்களை உயர்திணை, அஃறிணை எனப் பகுத்துக்கொண்டுள்ளது. எண்ணிக்கையைப் பொருத்து அஃறிணையை ஒன்றன்பால், பலவின்பால் என இரண்டாகக் கொள்கிறது."
,ஒன்றன் பால் என்றால் என்ன?,ஒன்றன் பால் என்பது ஆள்மாறான வர்க்கத்தின் ஒருமை வடிவத்தைக் குறிக்கும் தமிழ்ச் சொல். இது மனிதர்களுக்கு கீழே உள்ள அனைத்து உயிரினங்களையும் மற்றும் உயிரற்ற பொருட்களையும் குறிக்கிறது.
,பலர் பாலுக்கும் பலவின் பாலுக்கும் என்ன வித்தியாசம்?,ஒன்றன் பால் என்பது ஆள்மாறான வர்க்கத்தின் ஒருமை வடிவத்தைக் குறிக்கும் தமிழ்ச் சொல். இது மனிதர்களுக்கு கீழே உள்ள அனைத்து உயிரினங்களையும் மற்றும் உயிரற்ற பொருட்களையும் குறிக்கிறது ஆனால் மனிதர்களைக் குறிக்க பலர் பால் பயன்படுத்துகிறோம்
,சிறுவன் பலர் பாலாக மாற்றவும் சிறுவன் பலர்பாலில் சிறுவர்கள்?,
,சிறுமி பலர் பாலாக மாற்றவும்?,
,பெண் பலவின்பாலில் என்ன?,பெண் பலவின்பாலில் பெண்கள்
,பொதுவான பலார்பால் முடிவுகள் என்ன?,"  பலர் பாலுக்கான பொதுவான முடிவு -கால். உதாரணமாக, பலர்பாலுக்கு மாறும் போது பையன் பையன்களாக மாறுகிறது"
,பொதுவான பலவின்பால் முடிவுகள் என்ன?," பலவின்பாளுக்காக பொதுவான முடிவு -கால். உதாரணமாக, பலவின்பாலிக்கு மாறும் போது சிங்கம் சிங்கங்கள் மாறுகிறது."
